<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.11	00:00:00	1844.680	1849.418	1816.935	1830.697	26273	0	0
2021.01.11	04:00:00	1830.678	1850.208	1827.033	1846.120	20488	0	0
2021.01.11	08:00:00	1846.179	1855.472	1846.085	1849.316	20966	0	0
2021.01.11	12:00:00	1849.290	1850.477	1829.009	1848.875	30950	0	0
2021.01.11	16:00:00	1848.830	1851.592	1844.444	1846.790	19457	0	0
2021.01.11	20:00:00	1846.850	1848.503	1843.330	1847.233	8072	0	0
2021.01.12	00:00:00	1847.186	1851.826	1841.182	1849.758	14920	0	0
2021.01.12	04:00:00	1849.711	1861.724	1848.632	1859.369	14637	0	0
2021.01.12	08:00:00	1859.372	1863.726	1853.756	1860.044	16118	0	0
2021.01.12	12:00:00	1859.997	1861.503	1836.532	1841.725	29098	0	0
2021.01.12	16:00:00	1841.676	1857.252	1837.531	1854.187	19573	0	0
2021.01.12	20:00:00	1854.139	1858.821	1852.332	1858.743	8367	0	0
